point_id,region
1,6081606100
2,6081602300
3,6081600100
4,6081600100
5,6081606000
6,6081606000
7,6081605400
8,6081605400
9,6081984300
10,6081984300
11,6081604200
12,6081605400
13,6081605400
14,6081984300
15,6081984300
16,6081984300
17,6081602300
18,6081602300
19,6081602300
20,6081602300
21,6081602300
22,6081602300
23,6081600100
24,6081600100
25,6081600100
26,6081600100
27,6075061000
28,6075061000
29,6075026402
30,6041131100
31,6041131100
32,6041131100
33,6041131100
34,6041130201
35,6041130201
36,6041130201
37,6041130201
38,6041131100
39,6041131100
40,6041131100
41,6041131100
42,6041131100
43,6041131100
44,6041131100
45,6041131100
46,6041129000
47,6041128100
48,6041128100
49,6041128100
50,6041128100
51,6041126200
52,6041124100
53,6041121200
54,6041121200
55,6081606100
56,6081606100
57,6081605400
58,6081605400
59,6081605400
60,6081605400
61,6081605100
62,6081605100
63,6081984300
64,6081984300
65,6081984300
66,6081604200
67,6081984300
68,6081602300
69,6081602300
70,6081602300
71,6081602300
72,6081602300
73,6081600100
74,6081600100
75,6075061000
76,6075061000
77,6041131100
78,6041131100
79,6041131100
80,6041131100
81,6041130201
82,6041131100
83,6041131100
84,6041131100
85,6041131100
86,6041131100
87,6041131100
88,6041129000
89,6041128100
90,6041128100
91,6041126200
92,6041126200
93,6041124100
94,6041121100
95,6041121100
96,6041121100
97,6081605400
98,6075017902
99,6081605400
100,6081602300
101,6081602300
102,6081605600
103,6081605600
104,6081605600
105,6081605600
106,6081605600
107,6081605600
108,6081605000
109,6081605000
110,6081605000
111,6081605000
112,6081605000
113,6081605000
114,6081605000
115,6081605000
116,6081605000
117,6081604700
118,6081604600
119,6081604000
120,6081604102
121,6081604102
122,6081604102
123,6081604102
124,6081604102
125,6081604102
126,6081604102
127,6081602400
128,6081602400
129,6081602400
130,6081602400
131,6081601800
132,6081601603
133,6081601603
134,6081601603
135,6081601603
136,6081601603
137,6081601603
138,6081601603
139,6081601603
140,6081601603
141,6081601604
142,6081601604
143,6081601604
144,6081601604
145,6081601604
146,6081601604
147,6081601604
148,6081601604
149,6081601604
150,6081601300
151,6081601300
152,6081601300
153,6081600600
154,6081600600
155,6081600600
156,6075061500
157,6081600700
158,6075026200
159,6075026200
160,6075026200
161,6075026200
162,6075026200
163,6075026200
164,6075026100
165,6075025500
166,6075025500
167,6075025500
168,6075025500
169,6075025500
170,6075025500
171,6075025600
172,6075025600
173,6075025701
174,6075025701
175,6075025701
176,6075025701
177,6075010500
178,6075010300
179,6075060700
180,6075060700
181,6075060700
182,6075060700
183,6075060700
184,6075060700
185,6075060700
186,6075060700
187,6075010100
188,6075010100
189,6075023200
190,6075023400
191,6075023400
192,6075023400
193,6075023400
194,6075023400
195,6075023400
196,6075023400
197,6075023400
198,6075061000
199,6075023200
200,6075023200
201,6075023200
202,6075023200
203,6075023200
204,6075023200
205,6075023200
206,6075023200
207,6075023200
208,6075023103
209,6075023103
210,6075023103
211,6075023103
212,6075023103
213,6075023103
214,6075023103
215,6075030302
216,6075030302
217,6075030302
218,6075030302
219,6075030302
220,6075030302
221,6075030302
222,6075030302
223,6075030302
224,6075030302
225,6075030302
226,6075030302
227,6075030302
228,6075030302
229,6075030302
230,6075030302
231,6075030400
232,6075030400
233,6075030400
234,6075040200
235,6075040200
236,6075040200
237,6075040200
238,6075045200
239,6075045200
240,6075045200
241,6075980300
242,6075030400
243,6075030400
244,6075030400
245,6075980300
246,6075030202
247,6075030301
248,6075030301
249,6075030301
250,6075030301
251,6075060100
252,6075017802
253,6075017802
254,6075017802
255,6075020401
256,6075020401
257,6075060100
258,6075060100
259,6075060100
260,6075060100
261,6075061000
262,6075061000
263,6075061000
264,6075061000
265,6075061000
266,6075061000
267,6075061000
268,6075061000
269,6075061000
270,6075061000
271,6075061000
272,6075061000
273,6075061000
274,6075061000
275,6075061000
276,6075061000
277,6075061000
278,6075061000
279,6075061000
280,6075061000
281,6075061000
282,6075061000
283,6075061000
284,6075061000
285,6075061000
286,6075061000
287,6075061000
288,6075061000
289,6075061000
290,6075061000
291,6075061000
292,6075061000
293,6075061000
294,6075061000
295,6075061000
