period,region,PR
0,6001401700,0.0342857142857
0,6001409000,0.0
0,6001990000,0.0142857142857
0,6013355200,0.0
0,6075010100,3.54
0,6075010200,2.39714285714
0,6075010300,1.36571428571
0,6075010400,0.474285714286
0,6075010500,3.71142857143
0,6075010600,9.72571428571
0,6075010700,7.12857142857
0,6075010800,0.337142857143
0,6075010900,3.91428571429
0,6075011000,2.73142857143
0,6075011100,3.87428571429
0,6075011200,1.38285714286
0,6075011300,0.277142857143
0,6075011700,13.9085714286
0,6075011800,0.345714285714
0,6075011901,0.38
0,6075011902,1.77428571429
0,6075012000,3.65142857143
0,6075012100,4.11714285714
0,6075012201,1.85142857143
0,6075012202,4.26
0,6075012301,4.26
0,6075012302,5.52285714286
0,6075012401,0.594285714286
0,6075012402,3.32571428571
0,6075012501,3.54857142857
0,6075012502,0.465714285714
0,6075012601,1.34857142857
0,6075012602,0.311428571429
0,6075012700,0.422857142857
0,6075012800,6.68571428571
0,6075012901,0.622857142857
0,6075012902,2.84571428571
0,6075013000,6.17714285714
0,6075013101,0.651428571429
0,6075013102,0.485714285714
0,6075013200,0.671428571429
0,6075013300,0.425714285714
0,6075013400,1.06571428571
0,6075013500,0.971428571429
0,6075015100,1.17142857143
0,6075015200,1.79714285714
0,6075015300,1.34571428571
0,6075015400,0.557142857143
0,6075015500,2.16
0,6075015600,0.345714285714
0,6075015700,1.30571428571
0,6075015801,0.648571428571
0,6075015802,0.762857142857
0,6075015900,2.08
0,6075016000,0.665714285714
0,6075016100,0.542857142857
0,6075016200,2.16571428571
0,6075016300,0.588571428571
0,6075016400,2.79714285714
0,6075016500,0.702857142857
0,6075016600,4.02857142857
0,6075016700,1.71142857143
0,6075016801,2.54
0,6075016802,1.35428571429
0,6075016900,3.50571428571
0,6075017000,0.382857142857
0,6075017101,0.177142857143
0,6075017102,0.622857142857
0,6075017601,6.33428571429
0,6075017700,3.25714285714
0,6075017801,0.882857142857
0,6075017802,4.48285714286
0,6075017902,0.105714285714
0,6075018000,2.96
0,6075020100,4.49714285714
0,6075020200,5.56857142857
0,6075020300,4.08285714286
0,6075020401,0.214285714286
0,6075020402,0.191428571429
0,6075020500,3.59428571429
0,6075020600,4.95428571429
0,6075020700,2.15428571429
0,6075020800,6.94
0,6075020900,3.31142857143
0,6075021000,0.634285714286
0,6075021100,0.771428571429
0,6075021200,0.131428571429
0,6075021300,0.16
0,6075021400,0.548571428571
0,6075021500,0.288571428571
0,6075021600,0.114285714286
0,6075021700,0.0657142857143
0,6075021800,0.157142857143
0,6075022600,0.428571428571
0,6075022702,0.454285714286
0,6075022704,0.225714285714
0,6075022801,0.771428571429
0,6075022802,0.254285714286
0,6075022803,0.197142857143
0,6075022901,0.565714285714
0,6075022902,0.2
0,6075022903,0.325714285714
0,6075023001,0.06
0,6075023003,0.02
0,6075023102,0.0257142857143
0,6075023103,0.0485714285714
0,6075023200,0.04
0,6075023300,0.0314285714286
0,6075023400,0.0428571428571
0,6075025100,0.18
0,6075025200,0.351428571429
0,6075025300,2.14571428571
0,6075025401,0.202857142857
0,6075025402,0.0685714285714
0,6075025403,0.18
0,6075025500,0.254285714286
0,6075025600,0.148571428571
0,6075025701,0.0457142857143
0,6075025702,0.148571428571
0,6075025800,0.0285714285714
0,6075025900,0.0257142857143
0,6075026001,0.211428571429
0,6075026002,0.0885714285714
0,6075026003,0.0114285714286
0,6075026004,0.114285714286
0,6075026100,0.371428571429
0,6075026200,0.0628571428571
0,6075026301,0.148571428571
0,6075026302,0.0171428571429
0,6075026303,0.0342857142857
0,6075026401,0.0228571428571
0,6075026402,0.0342857142857
0,6075026403,0.0228571428571
0,6075030101,0.522857142857
0,6075030102,0.251428571429
0,6075030201,0.211428571429
0,6075030202,1.22
0,6075030301,0.1
0,6075030302,0.06
0,6075030400,0.0628571428571
0,6075030500,0.0228571428571
0,6075030600,0.0714285714286
0,6075030700,0.0457142857143
0,6075030800,0.208571428571
0,6075030900,0.0685714285714
0,6075031000,0.0257142857143
0,6075031100,0.217142857143
0,6075031201,0.0542857142857
0,6075031202,0.0171428571429
0,6075031301,0.02
0,6075031302,0.04
0,6075031400,0.0571428571429
0,6075032601,0.22
0,6075032602,0.0571428571429
0,6075032700,0.0771428571429
0,6075032801,0.0685714285714
0,6075032802,0.0342857142857
0,6075032901,0.04
0,6075032902,0.0228571428571
0,6075033000,0.108571428571
0,6075033100,0.0142857142857
0,6075033201,0.0742857142857
0,6075033203,0.0714285714286
0,6075033204,0.0628571428571
0,6075035100,0.0714285714286
0,6075035201,0.04
0,6075035202,0.0714285714286
0,6075035300,0.02
0,6075035400,0.04
0,6075040100,0.868571428571
0,6075040200,0.425714285714
