T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-1.43	0	0	1.43	1.79	0	0	0	0	0	0	0	6	6	0	0	6	6	5	0.43	0	0.21	8.32	0.05	0.04	0.04	3.05
21660	-5.94	0	0	5.94	7.43	0	0	0	3	0	3	0	14	14	0	0	14	14	11	1.24	0	0.47	15.12	0.12	0.04	0.09	3.06
21690	-17.2	0	0	17.2	21.5	0	0	0	6	0	6	0	22	21	0	0	22	21	24	1.95	0	0.47	15.12	0.12	0.06	0.14	3.11
21720	-32.43	0	0	32.43	40.54	0	0	0	10	0	10	0	30	29	0	0	30	29	33	2.73	0	0.47	15.26	0.12	0.06	0.14	3.15
21750	-47.59	3.33	0	50.92	63.65	0	1	0	15	0	14	0	35	35	0	0	35	35	42	3.43	1	0.47	15.26	0.12	0.14	0.14	3.15
21780	-69.96	3.33	0	73.29	91.61	0	1	0	20	0	19	0	44	44	1	0	45	44	52	4.03	1	0.86	15.35	0.12	0.14	0.24	3.18
21810	-82.6	19.77	0	102.37	127.96	0	5	0	27	0	22	0	49	49	1	0	50	49	63	4.58	1	0.86	15.35	0.12	0.14	0.24	3.18
21840	-98.03	32.27	0	130.3	162.88	0	8	0	31	0	23	0	57	57	1	0	58	57	68	5.15	1	0.86	15.35	0.12	0.14	0.24	3.18
21870	-132.12	32.27	0	164.39	205.49	0	8	0	38	1	30	1	64	64	1	0	65	64	76	5.68	1	1.39	15.53	0.19	0.19	0.32	3.18
21900	-154.43	48.3	0	202.73	253.42	0	12	0	40	2	28	2	70	70	1	0	71	70	88	6.09	1	1.57	15.53	0.19	0.19	0.38	3.18
21930	-184.87	56.84	0	241.71	302.14	0	14	0	44	4	30	4	76	77	1	0	77	77	94	6.49	2	1.57	15.53	0.19	0.19	0.38	3.18
21960	-188.51	92.24	0	280.75	350.94	0	22	0	51	6	29	6	86	86	1	0	87	86	103	6.86	2	2.67	16.02	0.19	0.19	0.61	3.21
21990	-219.51	104.77	0	324.28	405.34	0	25	0	55	10	30	10	93	94	1	0	94	94	110	7.16	2	2.67	16.02	0.19	0.19	0.61	3.21
22020	-223.59	137.98	9.08	370.64	463.31	0	31	1	61	14	30	13	100	101	1	0	101	101	115	7.7	2	2.67	16.02	0.19	0.19	0.61	3.21
22050	-245.24	161.89	9.08	416.21	520.26	0	35	1	66	16	31	15	105	105	1	0	106	105	117	8.15	2	2.67	16.02	0.19	0.19	0.61	3.21
22080	-250.83	180.29	36.01	467.13	583.91	0	39	4	68	20	29	16	112	112	1	0	113	112	121	8.66	2	2.67	16.02	0.19	0.19	0.61	3.21
22110	-248.94	215.12	52.63	516.69	645.86	0	46	6	74	23	28	17	117	118	1	0	118	118	126	9.1	2	2.67	16.02	0.19	0.19	0.61	3.21
22140	-258.59	232.05	76.52	567.16	708.95	0	49	9	78	26	29	17	123	124	2	0	125	124	132	9.54	2	2.67	16.02	0.19	0.19	0.61	3.31
22170	-227.49	271.82	117.05	616.36	770.45	0	57	13	81	27	24	14	129	131	2	0	131	131	132	10.21	2	2.67	16.07	0.19	0.19	0.61	3.42
22200	-223.55	282.02	159.18	664.75	830.94	0	59	18	84	30	25	12	135	136	2	0	137	136	134	10.94	2	2.67	16.07	0.19	0.19	0.61	3.42
22230	-209.24	306.89	193.04	709.17	886.46	0	64	22	89	35	25	13	142	144	2	0	144	144	134	11.51	2	2.67	16.07	0.19	0.19	0.61	3.69
